Batch: 150   Active Error: 0.571571571572  Random Error: 0.486486486486
Batch: 200   Active Error: 0.485485485485  Random Error: 0.433433433433
Batch: 250   Active Error: 0.429429429429  Random Error: 0.408408408408
Batch: 300   Active Error: 0.397397397397  Random Error: 0.409409409409
Batch: 350   Active Error: 0.383383383383  Random Error: 0.386386386386
Batch: 400   Active Error: 0.356356356356  Random Error: 0.363363363363
Batch: 450   Active Error: 0.332332332332  Random Error: 0.359359359359
Batch: 500   Active Error: 0.327327327327  Random Error: 0.341341341341
Batch: 550   Active Error: 0.31031031031  Random Error: 0.34034034034
Batch: 600   Active Error: 0.321321321321  Random Error: 0.328328328328
Batch: 650   Active Error: 0.308308308308  Random Error: 0.333333333333
Batch: 700   Active Error: 0.306306306306  Random Error: 0.322322322322
Batch: 750   Active Error: 0.292292292292  Random Error: 0.316316316316
Batch: 800   Active Error: 0.281281281281  Random Error: 0.305305305305
Batch: 850   Active Error: 0.279279279279  Random Error: 0.31031031031
Batch: 900   Active Error: 0.282282282282  Random Error: 0.306306306306
Batch: 950   Active Error: 0.272272272272  Random Error: 0.308308308308
Batch: 1000   Active Error: 0.273273273273  Random Error: 0.299299299299
Batch: 1050   Active Error: 0.274274274274  Random Error: 0.305305305305
Batch: 1100   Active Error: 0.266266266266  Random Error: 0.303303303303
Batch: 1150   Active Error: 0.269269269269  Random Error: 0.296296296296
Batch: 1200   Active Error: 0.258258258258  Random Error: 0.297297297297
Batch: 1250   Active Error: 0.26026026026  Random Error: 0.305305305305
Batch: 1300   Active Error: 0.252252252252  Random Error: 0.295295295295
Batch: 1350   Active Error: 0.255255255255  Random Error: 0.294294294294
Batch: 1400   Active Error: 0.254254254254  Random Error: 0.293293293293
Batch: 1450   Active Error: 0.245245245245  Random Error: 0.288288288288
Batch: 1500   Active Error: 0.248248248248  Random Error: 0.288288288288
Batch: 1550   Active Error: 0.256256256256  Random Error: 0.284284284284
Batch: 1600   Active Error: 0.244244244244  Random Error: 0.284284284284
Batch: 1650   Active Error: 0.249249249249  Random Error: 0.282282282282
Batch: 1700   Active Error: 0.241241241241  Random Error: 0.284284284284
Batch: 1750   Active Error: 0.244244244244  Random Error: 0.28028028028
Batch: 1800   Active Error: 0.242242242242  Random Error: 0.282282282282
Batch: 1850   Active Error: 0.246246246246  Random Error: 0.282282282282
Batch: 1900   Active Error: 0.237237237237  Random Error: 0.278278278278
Batch: 1950   Active Error: 0.231231231231  Random Error: 0.279279279279
Batch: 2000   Active Error: 0.234234234234  Random Error: 0.276276276276
Batch: 2050   Active Error: 0.226226226226  Random Error: 0.274274274274
Batch: 2100   Active Error: 0.229229229229  Random Error: 0.266266266266
Batch: 2150   Active Error: 0.239239239239  Random Error: 0.266266266266
Batch: 2200   Active Error: 0.23023023023  Random Error: 0.272272272272
Batch: 2250   Active Error: 0.232232232232  Random Error: 0.267267267267
Batch: 2300   Active Error: 0.232232232232  Random Error: 0.272272272272
Batch: 2350   Active Error: 0.236236236236  Random Error: 0.268268268268
Batch: 2400   Active Error: 0.23023023023  Random Error: 0.272272272272
Batch: 2450   Active Error: 0.238238238238  Random Error: 0.27027027027
Batch: 2500   Active Error: 0.23023023023  Random Error: 0.268268268268
