Batch: 150   Active Error: 0.281281281281  Random Error: 0.215215215215
Batch: 200   Active Error: 0.151151151151  Random Error: 0.173173173173
Batch: 250   Active Error: 0.143143143143  Random Error: 0.174174174174
Batch: 300   Active Error: 0.133133133133  Random Error: 0.156156156156
Batch: 350   Active Error: 0.122122122122  Random Error: 0.146146146146
Batch: 400   Active Error: 0.123123123123  Random Error: 0.147147147147
Batch: 450   Active Error: 0.107107107107  Random Error: 0.141141141141
Batch: 500   Active Error: 0.0980980980981  Random Error: 0.142142142142
Batch: 550   Active Error: 0.0980980980981  Random Error: 0.137137137137
Batch: 600   Active Error: 0.0960960960961  Random Error: 0.134134134134
Batch: 650   Active Error: 0.0900900900901  Random Error: 0.132132132132
Batch: 700   Active Error: 0.0980980980981  Random Error: 0.13013013013
Batch: 750   Active Error: 0.0870870870871  Random Error: 0.132132132132
Batch: 800   Active Error: 0.0840840840841  Random Error: 0.132132132132
Batch: 850   Active Error: 0.0940940940941  Random Error: 0.13013013013
Batch: 900   Active Error: 0.0880880880881  Random Error: 0.128128128128
Batch: 950   Active Error: 0.0840840840841  Random Error: 0.13013013013
Batch: 1000   Active Error: 0.0900900900901  Random Error: 0.128128128128
Batch: 1050   Active Error: 0.0880880880881  Random Error: 0.124124124124
Batch: 1100   Active Error: 0.0850850850851  Random Error: 0.127127127127
Batch: 1150   Active Error: 0.0810810810811  Random Error: 0.12012012012
Batch: 1200   Active Error: 0.0830830830831  Random Error: 0.116116116116
Batch: 1250   Active Error: 0.0770770770771  Random Error: 0.121121121121
Batch: 1300   Active Error: 0.0790790790791  Random Error: 0.122122122122
Batch: 1350   Active Error: 0.0810810810811  Random Error: 0.117117117117
Batch: 1400   Active Error: 0.0820820820821  Random Error: 0.113113113113
Batch: 1450   Active Error: 0.0830830830831  Random Error: 0.114114114114
Batch: 1500   Active Error: 0.0850850850851  Random Error: 0.119119119119
Batch: 1550   Active Error: 0.0870870870871  Random Error: 0.115115115115
Batch: 1600   Active Error: 0.0790790790791  Random Error: 0.115115115115
Batch: 1650   Active Error: 0.0840840840841  Random Error: 0.113113113113
Batch: 1700   Active Error: 0.0840840840841  Random Error: 0.111111111111
Batch: 1750   Active Error: 0.0870870870871  Random Error: 0.116116116116
Batch: 1800   Active Error: 0.0860860860861  Random Error: 0.112112112112
Batch: 1850   Active Error: 0.0880880880881  Random Error: 0.109109109109
Batch: 1900   Active Error: 0.0870870870871  Random Error: 0.108108108108
Batch: 1950   Active Error: 0.0860860860861  Random Error: 0.102102102102
Batch: 2000   Active Error: 0.0870870870871  Random Error: 0.104104104104
Batch: 2050   Active Error: 0.0850850850851  Random Error: 0.103103103103
Batch: 2100   Active Error: 0.0860860860861  Random Error: 0.0980980980981
Batch: 2150   Active Error: 0.0850850850851  Random Error: 0.0990990990991
Batch: 2200   Active Error: 0.0850850850851  Random Error: 0.0990990990991
Batch: 2250   Active Error: 0.0860860860861  Random Error: 0.0990990990991
Batch: 2300   Active Error: 0.0860860860861  Random Error: 0.0960960960961
Batch: 2350   Active Error: 0.0870870870871  Random Error: 0.0990990990991
Batch: 2400   Active Error: 0.0870870870871  Random Error: 0.0970970970971
Batch: 2450   Active Error: 0.0870870870871  Random Error: 0.0980980980981
Batch: 2500   Active Error: 0.0870870870871  Random Error: 0.0980980980981
objc[4841]: Class FIFinderSyncExtensionHost is implemented in both /System/Library/PrivateFrameworks/FinderKit.framework/Versions/A/FinderKit (0x7fff86e7da70) and /System/Library/PrivateFrameworks/FileProvider.framework/OverrideBundles/FinderSyncCollaborationFileProviderOverride.bundle/Contents/MacOS/FinderSyncCollaborationFileProviderOverride (0x11be0ccd8). One of the two will be used. Which one is undefined.
[Finished in 64.0s]
