Batch: 150   Active Error: 0.371371371371  Random Error: 0.408408408408
Batch: 200   Active Error: 0.294294294294  Random Error: 0.376376376376
Batch: 250   Active Error: 0.269269269269  Random Error: 0.336336336336
Batch: 300   Active Error: 0.238238238238  Random Error: 0.302302302302
Batch: 350   Active Error: 0.245245245245  Random Error: 0.296296296296
Batch: 400   Active Error: 0.25025025025  Random Error: 0.283283283283
Batch: 450   Active Error: 0.228228228228  Random Error: 0.279279279279
Batch: 500   Active Error: 0.239239239239  Random Error: 0.274274274274
Batch: 550   Active Error: 0.233233233233  Random Error: 0.24024024024
Batch: 600   Active Error: 0.221221221221  Random Error: 0.236236236236
Batch: 650   Active Error: 0.217217217217  Random Error: 0.236236236236
Batch: 700   Active Error: 0.208208208208  Random Error: 0.233233233233
Batch: 750   Active Error: 0.205205205205  Random Error: 0.238238238238
Batch: 800   Active Error: 0.197197197197  Random Error: 0.235235235235
Batch: 850   Active Error: 0.201201201201  Random Error: 0.227227227227
Batch: 900   Active Error: 0.195195195195  Random Error: 0.218218218218
Batch: 950   Active Error: 0.19019019019  Random Error: 0.218218218218
Batch: 1000   Active Error: 0.186186186186  Random Error: 0.217217217217
Batch: 1050   Active Error: 0.17017017017  Random Error: 0.217217217217
Batch: 1100   Active Error: 0.178178178178  Random Error: 0.216216216216
Batch: 1150   Active Error: 0.168168168168  Random Error: 0.215215215215
Batch: 1200   Active Error: 0.169169169169  Random Error: 0.21021021021
Batch: 1250   Active Error: 0.18018018018  Random Error: 0.21021021021
Batch: 1300   Active Error: 0.168168168168  Random Error: 0.214214214214
Batch: 1350   Active Error: 0.168168168168  Random Error: 0.217217217217
Batch: 1400   Active Error: 0.164164164164  Random Error: 0.211211211211
Batch: 1450   Active Error: 0.16016016016  Random Error: 0.209209209209
Batch: 1500   Active Error: 0.158158158158  Random Error: 0.207207207207
Batch: 1550   Active Error: 0.165165165165  Random Error: 0.211211211211
Batch: 1600   Active Error: 0.158158158158  Random Error: 0.21021021021
Batch: 1650   Active Error: 0.158158158158  Random Error: 0.2002002002
Batch: 1700   Active Error: 0.159159159159  Random Error: 0.203203203203
Batch: 1750   Active Error: 0.159159159159  Random Error: 0.2002002002
Batch: 1800   Active Error: 0.154154154154  Random Error: 0.203203203203
Batch: 1850   Active Error: 0.16016016016  Random Error: 0.195195195195
Batch: 1900   Active Error: 0.162162162162  Random Error: 0.198198198198
Batch: 1950   Active Error: 0.158158158158  Random Error: 0.201201201201
Batch: 2000   Active Error: 0.153153153153  Random Error: 0.199199199199
Batch: 2050   Active Error: 0.161161161161  Random Error: 0.195195195195
Batch: 2100   Active Error: 0.161161161161  Random Error: 0.196196196196
Batch: 2150   Active Error: 0.155155155155  Random Error: 0.19019019019
Batch: 2200   Active Error: 0.156156156156  Random Error: 0.191191191191
Batch: 2250   Active Error: 0.16016016016  Random Error: 0.189189189189
Batch: 2300   Active Error: 0.163163163163  Random Error: 0.191191191191
Batch: 2350   Active Error: 0.163163163163  Random Error: 0.188188188188
Batch: 2400   Active Error: 0.159159159159  Random Error: 0.185185185185
Batch: 2450   Active Error: 0.161161161161  Random Error: 0.185185185185
Batch: 2500   Active Error: 0.163163163163  Random Error: 0.186186186186
objc[4868]: Class FIFinderSyncExtensionHost is implemented in both /System/Library/PrivateFrameworks/FinderKit.framework/Versions/A/FinderKit (0x7fff86e7da70) and /System/Library/PrivateFrameworks/FileProvider.framework/OverrideBundles/FinderSyncCollaborationFileProviderOverride.bundle/Contents/MacOS/FinderSyncCollaborationFileProviderOverride (0x120e51cd8). One of the two will be used. Which one is undefined.
